model_year,make_,model.1_,vehicleclass_,motor_(kw),enginesize_(l),cylinders_,transmission_,fuel_type1,consumption_combinedle/100km,range1_(km),recharge_time(h),fuel.1_type2,consumption.1_city(l/100km),fuelconsumption_hwy(l/100km),fuelconsumption_comb(l/100km),range2_(km),co2emissions_(g/km),co2_rating,smog_rating,transmission_type,number_of_gears
2021,audi,a7 sportback 55 tfsi e quattro,mid-size,105,2.0,4.0,AM7,B/Z,3.5 ([28.7 kWh + 0.2 L]/100 km),39,2.4,Z,8.9,7.0,8.1,668,87,10,7,automated manual,7
2021,audi,a8 l sedan 60 tfsi e quattro,full-size,100,3.0,6.0,AS8,B/Z*,4.4 ([39.2 kWh + 0.0 L]/100 km),29,2.4,Z,11.3,9.1,10.3,639,132,8,3,automatic with select Shift,8
2021,audi,q5 55 tfsi e quattro,suv - small,105,2.0,4.0,AM7,B/Z,4.7 ([27.5 kWh + 1.5 L]/100 km),31,2.4,Z,9.3,8.2,8.8,608,103,10,7,automated manual,7
2021,bentley,bentayga hybrid,suv - standard,100,3.0,6.0,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),29,3,Z,13.9,11.2,12.7,599,159,7,3,automatic with select Shift,8
2021,bmw,330e,compact,83,2.0,4.0,AS8,B/Z*,3.1 ([27.8 kWh + 0.0 L]/100 km),37,3,Z,9.4,7.2,8.4,486,100,10,3,automatic with select Shift,8
2021,bmw,330e xdrive,compact,83,2.0,4.0,AS8,B/Z*,3.5 ([31.5 kWh + 0.0 L]/100 km),32,3,Z,10.7,7.9,9.4,436,119,9,3,automatic with select Shift,8
2021,bmw,530e,mid-size,83,2.0,4.0,AS8,B/Z,3.7 ([30.3 kWh + 0.2 L]/100 km),34,3,Z,9.6,8.0,8.9,520,111,9,7,automatic with select Shift,8
2021,bmw,530e xdrive,mid-size,83,2.0,4.0,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10.5,8.4,9.5,486,126,9,7,automatic with select Shift,8
2021,bmw,745le xdrive,full-size,83,3.0,6.0,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12.2,9.1,10.8,435,152,8,3,automatic with select Shift,8
2021,bmw,i3 rex (120 ah),subcompact,125,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,automatic,1
2021,bmw,i3s rex (120 ah),subcompact,135,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,automatic,1
2021,bmw,x3 xdrive30e,suv - small,80,2.0,4.0,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7,automatic with select Shift,8
2021,bmw,x5 xdrive45e,suv - standard,83,3.0,6.0,AS8,B/Z,4.7 ([38.8 kWh + 0.3 L]/100 km),50,5,Z,12.2,10.6,11.5,600,111,9,7,automatic with select Shift,8
2021,chrysler,pacifica hybrid,minivan,89,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7,continuously variable,
2021,ford,escape plug-in hybrid,suv - small,62,2.5,4.0,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60,3.3,X,5.5,6.2,5.8,784,48,10,7,continuously variable,
2021,honda,clarity plug-in hybrid,mid-size,135,1.5,4.0,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,continuously variable,
2021,hyundai,ioniq plug-in hybrid,mid-size,45,1.6,4.0,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47,2.3,X,4.5,4.6,4.5,954,46,10,7,automated manual,6
2021,jeep,wrangler 4xe,suv - small,100,2.0,4.0,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2.4,X,11.6,11.9,11.7,557,143,8,5,automatic,8
2021,karma,"gs-6 (21"" wheels)",subcompact,400,1.5,3.0,A1,B,3.4 (29.9 kWh/100 km),98,6.25,Z,8.8,9.5,9.1,428,44,10,7,automatic,1
2021,karma,"gs-6 (22"" wheels)",subcompact,400,1.5,3.0,A1,B,3.8 (33.7 kWh/100 km),87,6.25,Z,10.7,11.0,10.8,360,60,10,7,automatic,1
2021,karma,"revero gt (21"" wheels)",subcompact,400,1.5,3.0,A1,B,3.4 (29.9 kWh/100 km),98,6.25,Z,8.8,9.5,9.1,428,44,10,7,automatic,1
2021,karma,"revero gt (22"" wheels)",subcompact,400,1.5,3.0,A1,B,3.8 (33.7 kWh/100 km),87,6.25,Z,10.7,11.0,10.8,360,60,10,7,automatic,1
2021,kia,niro plug-in hybrid,station wagon - small,45,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7,automated manual,6
2021,lincoln,aviator grand touring,suv - standard,62,3.0,6.0,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7,automatic with select Shift,10
2021,lincoln,corsair grand touring,suv - small,62,2.5,4.0,AV,B/X*,3.0 ([26.9 kWh + 0.0 L]/100 km),45,3.4,X,6.9,7.3,7.1,644,73,10,7,continuously variable,
2021,mini,cooper se countryman all4,mid-size,65,1.5,3.0,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,9,3,automatic with select Shift,6
2021,mitsubishi,outlander phev awd,suv - small,70,2.4,4.0,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39,4,X,9.2,9.0,9.1,470,103,10,7,automatic,1
2021,polestar,1,minicompact,170,2.0,4.0,AS8,B/Z*,3.9 ([35.4 kWh + 0.0 L]/100 km),84,9,Z,10.5,7.6,9.2,671,54,10,5,automatic with select Shift,8
2021,porsche,cayenne e-hybrid,suv - standard,99,3.0,6.0,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27,3,Z,11.8,10.6,11.3,666,160,7,5,automatic with select Shift,8
2021,porsche,cayenne turbo s e-hybrid,suv - standard,99,4.0,8.0,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24,3,Z,13.8,12.1,13.0,578,199,6,3,automatic with select Shift,8
2021,porsche,panamera 4 e-hybrid,full-size,70,2.9,6.0,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31,3,Z,11.4,10.0,10.8,745,144,8,5,automated manual,8
2021,porsche,panamera turbo s e-hybrid,full-size,70,4.0,8.0,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27,3,Z,13.2,10.8,12.1,665,171,7,3,automated manual,8
2021,subaru,crosstrek hybrid awd,suv - small,100,2.0,4.0,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6,continuously variable,
2021,toyota,prius prime,mid-size,71,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,continuously variable,
2021,toyota,rav4 prime,suv - small,134,2.5,4.0,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4.5,X,5.7,6.4,6.0,911,44,10,7,continuously variable,
2021,volvo,s60 t8 awd,compact,65,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7,automatic with select Shift,8
2021,volvo,s90 t8 awd,mid-size,65,2.0,4.0,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8.3,7.5,7.9,761,99,10,7,automatic with select Shift,8
2021,volvo,v60 t8 awd,station wagon - small,65,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7,automatic with select Shift,8
2021,volvo,xc60 t8 awd,suv - small,65,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),31,3,Z,9.8,8.7,9.3,769,125,9,7,automatic with select Shift,8
2021,volvo,xc90 t8 awd,suv - standard,65,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9.1,8.4,8.8,813,120,9,7,automatic with select Shift,8
2022,audi,a7 sportback 55 tfsi e quattro,mid-size,105,2.0,4.0,AM7,B/Z*,3.4 ([29.9 kWh + 0.0 L]/100 km),42,3,Z,9.5,7.5,8.6,623,78,10,7,automated manual,7
2022,audi,q5 55 tfsi e quattro,suv - small,105,2.0,4.0,AM7,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),37,3,Z,9.4,8.8,9.1,594,92,10,7,automated manual,7
2022,bentley,flying spur hybrid,mid-size,103,2.9,6.0,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34,3,Z,13.7,10.7,12.3,653,156,7,5,automated manual,8
2022,bmw,330e xdrive,compact,83,2.0,4.0,AS8,B/Z*,3.5 ([31.3 kWh + 0.0 L]/100 km),32,3,Z,10.7,7.9,9.4,436,119,9,7,automatic with select Shift,8
2022,bmw,530e xdrive,mid-size,83,2.0,4.0,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10.5,8.4,9.5,486,126,8,7,automatic with select Shift,8
2022,bmw,745le xdrive,full-size,83,3.0,6.0,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12.2,9.1,10.8,435,152,7,3,automatic with select Shift,8
2022,bmw,x3 xdrive30e,suv - small,80,2.0,4.0,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,8,7,automatic with select Shift,8
2022,bmw,x5 xdrive45e,suv - standard,83,3.0,6.0,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50,5,Z,12.2,10.6,11.5,602,110,9,7,automatic with select Shift,8
2022,chrysler,pacifica hybrid,minivan,89,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7,continuously variable,
