jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,make,model_,year
292,243,390,260,214,338,222,178,143,142,221,164,Nissan,Titan,2019
365,363,410,310,285,189,152,154,140,1,0,0,Nissan,Versa,2019
16,18,32,57,0,55,40,20,10,23,18,32,Porsche,718,2019
62,82,102,173,0,78,90,66,121,219,102,186,Porsche,911,2019
184,209,288,290,0,221,290,241,385,188,253,256,Porsche,Cayenne,2019
85,141,205,299,0,510,314,439,325,329,269,235,Porsche,Macan,2019
35,35,58,70,0,62,65,42,53,34,34,51,Porsche,Panamera,2019
"5,496","6,394","7,230","8,335","9,697","9,563","7,277","8,345","8,177","6,733","5,727","6,619",Ram,Pickup,2019
269,454,592,439,455,460,416,477,41,314,267,388,Ram,ProMaster,2019
115,34,98,124,47,99,81,92,252,61,52,11,Ram,ProMaster City,2019
0,0,11,0,82,35,25,0,22,12,1,0,Smart,ForTwo,2019
198,253,384,472,414,397,292,303,314,336,410,366,Subaru,Ascent,2019
24,214,49,65,67,55,40,38,34,20,19,22,Subaru,BRZ,2019
810,643,"1,040","1,165","1,355","1,244","1,427","1,373","1,631","1,858","1,445","1,193",Subaru,CrossTrek,2019
850,624,"1,087","1,113","1,413","1,182","1,117","1,066","1,198","1,204","1,114","1,091",Subaru,Forester,2019
490,552,771,805,961,952,777,802,747,951,657,600,Subaru,Impreza,2019
174,31,331,357,386,316,307,187,97,194,189,137,Subaru,Impreza WRX,2019
98,131,170,178,200,190,125,116,90,152,146,156,Subaru,Legacy,2019
499,621,948,"1,065","1,079",981,"1,074",845,644,926,"1,184","1,106",Subaru,Outback,2019
"2,100","2,100","2,100",400,400,400,400,400,400,400,400,400,Tesla,Model 3,2019
110,110,110,110,110,110,110,110,110,110,110,110,Tesla,Model S,2019
140,140,140,140,140,140,140,140,140,140,140,140,Tesla,Model X,2019
605,393,784,762,854,681,824,903,522,690,663,549,Toyota,4Runner,2019
9,12,35,22,20,38,32,34,20,16,12,12,Toyota,86 / FR-S,2019
34,17,47,37,51,26,25,30,45,43,29,21,Toyota,Avalon,2019
416,380,650,791,919,767,719,684,539,587,489,342,Toyota,C-HR,2019
929,920,"1,544","1,580","1,946","1,667","1,287",915,791,723,771,581,Toyota,Camry,2019
"2,734","2,486","4,035","4,575","6,246","4,546","4,047","4,788","3,892","4,245","3,571","2,431",Toyota,Corolla,2019
729,792,"1,184","1,095","1,185","1,423","1,347","1,336","1,114","1,366","1,316",924,Toyota,Highlander,2019
32,12,12,39,42,12,22,65,23,20,14,0,Toyota,Land Cruiser,2019
3,18,10,5,17,0,4,0,4,5,4,0,Toyota,Mirai,2019
297,394,779,836,"1,381",633,"1,089","1,348","1,001","1,224",954,569,Toyota,Prius Family,2019
"3,630","3,838","4,918","6,247","6,791","6,509","5,936","5,819","5,785","6,348","5,634","3,793",Toyota,RAV4,2019
41,35,54,72,46,59,82,30,38,25,35,26,Toyota,Sequoia,2019
"1,433",936,"1,563","1,482","1,382","1,369","1,520","1,280","1,112",876,"1,098",580,Toyota,Sienna,2019
0,0,0,0,0,0,66,106,32,12,26,10,Toyota,Supra,2019
852,733,"1,055","1,324","1,169","1,186","1,147","1,121",865,"1,078","1,139",867,Toyota,Tacoma,2019
612,631,909,952,"1,134",867,882,"1,139",641,617,907,675,Toyota,Tundra,2019
422,374,606,750,827,741,735,688,475,372,146,120,Toyota,Yaris,2019
0,0,13,80,53,38,47,36,21,49,38,81,Volkswagen,Arteon,2019
530,521,822,925,881,725,761,769,748,933,695,601,Volkswagen,Atlas,2019
136,170,331,408,384,341,351,310,160,178,89,52,Volkswagen,Beetle,2019
"1,142",969,"1,558","1,527","1,970","1,531","1,843","1,969","1,701","2,013","1,918","1,527",Volkswagen,Golf,2019
934,"1,052","1,254","1,777","2,088","1,342","1,632","1,794","1,394","1,469","1,375","1,149",Volkswagen,Jetta,2019
93,64,108,82,78,49,34,31,31,44,11,47,Volkswagen,Passat,2019
"1,166","1,352","1,677","1,564","1,603","1,541","1,635","1,949","2,044","2,296","1,409","1,014",Volkswagen,Tiguan,2019
7,2,5,2,1,3,2,0,1,3,0,0,Volkswagen,Touareg,2019
70,137,155,164,209,224,149,125,154,139,157,267,Volvo,60-Series,2019
50,25,33,28,27,30,34,11,15,2,28,12,Volvo,90-Series,2019
109,116,227,226,191,99,181,191,134,216,231,211,Volvo,XC40,2019
125,137,234,320,280,307,343,283,305,240,241,230,Volvo,XC60,2019
174,161,215,285,274,268,198,220,263,204,231,240,Volvo,XC90,2019
62,65,124,116,93,73,70,68,58,59,39,43,Acura,ILX,2020
